# Time-averaged data for fix print2
# TimeStep c_CG[1] c_CG[2] c_CG[3] c_LG[1] c_LG[2] c_LG[3]
0 50 50 0.5001 0 0 0
100 50 50 0.50009 0 0 0
200 50 50 0.50008 0 0 0
300 50 50 0.50007 0 0 0
400 50 50 0.50006 0 0 0
500 50 50 0.50005 0 0 0
600 50 50 0.50004 0 0 0
700 50 50 0.50003 0 0 0
800 50 50 0.50002 0 0 0
900 50 50 0.50001 0 0 0
1000 50 50 0.5 0 0 0
1100 50 50.0001 0.49999 -0.00582486 0 0
1200 50 50.0001 0.49998 -0.0121433 0 0
1300 50 50.0001 0.49997 -0.018919 0 0
1400 50 50.0001 0.49996 -0.0261434 0 0
1500 50 50.0001 0.49995 -0.0338079 0 0
1600 50 50.0001 0.49994 -0.0419035 0 0
1700 50 50.0001 0.499931 -0.0504208 0 0
1800 50 50.0001 0.499921 -0.0593506 0 0
1900 50 50.0001 0.499911 -0.068683 0 0
2000 50 50.0001 0.499902 -0.0784082 0 0
2100 50 50.0001 0.499892 -0.0885162 0 0
2200 50 50.0001 0.499882 -0.0989965 0 0
2300 50 50.0001 0.499873 -0.109839 0 0
2400 50 50.0001 0.499863 -0.121032 0 0
2500 50 50.0001 0.499854 -0.132566 0 0
2600 50 50.0001 0.499845 -0.144429 0 0
2700 50 50.0001 0.499835 -0.156611 0 0
2800 50 50.0001 0.499826 -0.169099 0 0
2900 50 50.0001 0.499817 -0.181883 0 0
3000 50 50.0001 0.499808 -0.194952 0 0
3100 50 50.0002 0.499799 -0.208292 0 0
3200 50 50.0002 0.49979 -0.221893 0 0
3300 50 50.0002 0.499781 -0.235743 0 0
3400 50 50.0002 0.499772 -0.24983 0 0
3500 50 50.0002 0.499763 -0.264141 0 0
3600 50 50.0002 0.499755 -0.278665 0 0
3700 50 50.0002 0.499746 -0.29339 0 0
3800 50 50.0002 0.499737 -0.308303 0 0
3900 50 50.0002 0.499729 -0.323392 0 0
4000 50 50.0002 0.499721 -0.338645 0 0
4100 50 50.0002 0.499712 -0.354049 0 0
4200 50 50.0002 0.499704 -0.369593 0 0
4300 50 50.0002 0.499696 -0.385264 0 0
4400 50 50.0002 0.499688 -0.401049 0 0
4500 50 50.0002 0.49968 -0.416937 0 0
4600 50 50.0002 0.499673 -0.432915 0 0
4700 50 50.0002 0.499665 -0.448971 0 0
4800 50 50.0002 0.499657 -0.465092 0 0
4900 50 50.0002 0.49965 -0.481267 0 0
5000 50 50.0002 0.499643 -0.497484 0 0
5100 50 50.0002 0.499635 -0.513729 0 0
5200 50 50.0002 0.499628 -0.529993 0 0
5300 50 50.0002 0.499621 -0.546262 0 0
5400 50 50.0002 0.499614 -0.562525 0 0
5500 50 50.0003 0.499607 -0.57877 0 0
5600 50 50.0003 0.499601 -0.594986 0 0
5700 50 50.0003 0.499594 -0.61116 0 0
5800 50 50.0003 0.499588 -0.627283 0 0
5900 50 50.0003 0.499581 -0.643342 0 0
6000 50 50.0003 0.499575 -0.659327 0 0
6100 50 50.0003 0.499569 -0.675226 0 0
6200 50 50.0003 0.499563 -0.691029 0 0
6300 50 50.0003 0.499557 -0.706725 0 0
6400 50 50.0003 0.499551 -0.722304 0 0
6500 50 50.0003 0.499546 -0.737755 0 0
6600 50 50.0003 0.49954 -0.753068 0 0
6700 50 50.0003 0.499535 -0.768233 0 0
6800 50 50.0003 0.49953 -0.783241 0 0
6900 50 50.0003 0.499525 -0.798082 0 0
7000 50 50.0003 0.49952 -0.812746 0 0
7100 50 50.0003 0.499515 -0.827225 0 0
7200 50 50.0003 0.49951 -0.841508 0 0
7300 50 50.0003 0.499505 -0.855589 0 0
7400 50 50.0003 0.499501 -0.869457 0 0
7500 50 50.0003 0.499497 -0.883105 0 0
7600 50 50.0003 0.499493 -0.896524 0 0
7700 50 50.0003 0.499489 -0.909707 0 0
7800 50 50.0003 0.499485 -0.922646 0 0
7900 50 50.0003 0.499481 -0.935333 0 0
8000 50 50.0003 0.499477 -0.947762 0 0
8100 50 50.0003 0.499474 -0.959925 0 0
8200 50 50.0003 0.49947 -0.971816 0 0
8300 50 50.0003 0.499467 -0.983429 0 0
8400 50 50.0004 0.499464 -0.994756 0 0
8500 50 50.0004 0.499461 -1.00579 0 0
8600 50 50.0004 0.499459 -1.01653 0 0
8700 50 50.0004 0.499456 -1.02697 0 0
8800 50 50.0004 0.499453 -1.0371 0 0
8900 50 50.0004 0.499451 -1.04692 0 0
9000 50 50.0004 0.499449 -1.05642 0 0
9100 50 50.0004 0.499447 -1.06561 0 0
9200 50 50.0004 0.499445 -1.07446 0 0
9300 50 50.0004 0.499443 -1.08299 0 0
