# Time-averaged data for fix print1
# TimeStep f_IKE[0] c_eKin c_rot_e c_epotN c_epotT c_edisN c_edisTV c_edisTF c_workT c_edisH
0 0 62.4999 0 0 0 0 0 0 0 0
100 0 62.4999 0 0 0 0 0 0 0 0
200 0 62.4999 0 0 0 0 0 0 0 0
300 0 62.4999 0 0 0 0 0 0 0 0
400 0 62.4999 0 0 0 0 0 0 0 0
500 0 62.4999 0 0 0 0 0 0 0 0
600 0 62.4999 0 0 0 0 0 0 0 0
700 0 62.4999 0 0 0 0 0 0 0 0
800 0 62.4999 0 0 0 0 0 0 0 0
900 0 62.4999 0 0 0 0 0 0 0 0
1000 0 62.4999 0 0 0 0 0 0 0 0
1100 0 62.2061 0.000169645 0.0125421 0.00256748 0.224166 0.0557225 0 0.00259316 0
1200 0 61.8826 0.000737298 0.0500432 0.0101823 0.447215 0.110496 0 0.0102332 0
1300 0 61.5312 0.00178964 0.112298 0.0227037 0.66904 0.164257 0 0.0227794 0
1400 0 61.1523 0.0034174 0.199076 0.0399798 0.889536 0.216946 0 0.0400798 0
1500 0 60.7464 0.00571489 0.310125 0.0618473 1.1086 0.268508 0 0.061971 0
1600 0 60.3141 0.00877952 0.445169 0.0881327 1.32613 0.318889 0 0.0882796 0
1700 0 59.8559 0.0127113 0.60391 0.118653 1.54203 0.36804 0 0.118822 0
1800 0 59.3722 0.0176125 0.786025 0.153216 1.75619 0.415916 0 0.153407 0
1900 0 58.8638 0.0235868 0.991172 0.19162 1.96852 0.462476 0 0.191833 0
2000 0 58.3312 0.0307393 1.21899 0.233659 2.17894 0.507681 0 0.233893 0
2100 0 57.775 0.0391756 1.46908 0.279117 2.38733 0.551498 0 0.279371 0
2200 0 57.1958 0.0490016 1.74106 0.327772 2.59362 0.593897 0 0.328046 0
2300 0 56.5944 0.0603228 2.03448 0.379399 2.79772 0.634852 0 0.379691 0
2400 0 55.9713 0.0732441 2.34891 0.433765 2.99955 0.67434 0 0.434076 0
2500 0 55.3274 0.0878689 2.68388 0.490636 3.19901 0.712345 0 0.490964 0
2600 0 54.6633 0.104299 3.03891 0.549772 3.39602 0.748851 0 0.550117 0
2700 0 53.9797 0.122635 3.4135 0.610934 3.59052 0.783849 0 0.611295 0
2800 0 53.2774 0.142973 3.80712 0.673877 3.78243 0.817332 0 0.674254 0
2900 0 52.5571 0.165408 4.21925 0.738358 3.97167 0.849299 0 0.73875 0
3000 0 51.8197 0.190031 4.64934 0.804134 4.15817 0.879751 0 0.804539 0
3100 0 51.0658 0.216928 5.09681 0.870959 4.34187 0.908693 0 0.871378 0
3200 0 50.2964 0.246183 5.56109 0.938592 4.5227 0.936135 0 0.939023 0
3300 0 49.5121 0.277874 6.04159 1.00679 4.7006 0.962089 0 1.00723 0
3400 0 48.7139 0.312075 6.53769 1.07532 4.87551 0.986571 0 1.07577 0
3500 0 47.9025 0.348853 7.04877 1.14394 5.04738 1.0096 0 1.1444 0
3600 0 47.0788 0.388272 7.5742 1.21241 5.21616 1.0312 0 1.21289 0
3700 0 46.2436 0.430388 8.11334 1.28052 5.38179 1.0514 0 1.28101 0
3800 0 45.3977 0.475254 8.66553 1.34804 5.54423 1.07023 0 1.34854 0
3900 0 44.5421 0.522912 9.2301 1.41476 5.70345 1.08771 0 1.41526 0
4000 0 43.6775 0.573403 9.80638 1.48045 5.85938 1.10389 0 1.48096 0
4100 0 42.8048 0.626756 10.3937 1.54492 6.01202 1.11881 0 1.54544 0
4200 0 41.9249 0.682997 10.9913 1.60797 6.16131 1.13249 0 1.60849 0
4300 0 41.0386 0.742143 11.5986 1.6694 6.30723 1.14499 0 1.66993 0
4400 0 40.1468 0.804204 12.2148 1.72904 6.44975 1.15635 0 1.72958 0
4500 0 39.2503 0.869184 12.8392 1.78672 6.58885 1.16662 0 1.78725 0
4600 0 38.35 0.937078 13.4712 1.84225 6.72451 1.17585 0 1.84279 0
4700 0 37.4468 1.00788 14.1099 1.8955 6.85671 1.18408 0 1.89604 0
4800 0 36.5415 1.08156 14.7547 1.9463 6.98545 1.19137 0 1.94685 0
4900 0 35.635 1.15809 15.4048 1.99453 7.1107 1.19778 0 1.99508 0
5000 0 34.728 1.23745 16.0595 2.04005 7.23247 1.20336 0 2.04061 0
5100 0 33.8215 1.31959 16.7181 2.08275 7.35074 1.20816 0 2.08331 0
5200 0 32.9162 1.40447 17.3799 2.12252 7.46553 1.21224 0 2.12308 0
5300 0 32.013 1.49201 18.0441 2.15926 7.57682 1.21566 0 2.15982 0
5400 0 31.1127 1.58217 18.7099 2.19288 7.68464 1.21849 0 2.19344 0
5500 0 30.2161 1.67488 19.3768 2.22331 7.78898 1.22076 0 2.22387 0
5600 0 29.324 1.77004 20.0438 2.25048 7.88987 1.22256 0 2.25104 0
5700 0 28.4372 1.86759 20.7104 2.27433 7.98732 1.22392 0 2.2749 0
5800 0 27.5565 1.96742 21.3758 2.29483 8.08134 1.22492 0 2.29539 0
5900 0 26.6825 2.06945 22.0393 2.31193 8.17196 1.22561 0 2.31249 0
6000 0 25.8162 2.17356 22.7001 2.32562 8.2592 1.22606 0 2.32618 0
6100 0 24.9582 2.27966 23.3577 2.33587 8.3431 1.2263 0 2.33643 0
6200 0 24.1092 2.38761 24.0112 2.34269 8.42368 1.22641 0 2.34326 0
6300 0 23.2699 2.49731 24.66 2.34609 8.50098 1.22644 0 2.34665 0
6400 0 22.4411 2.60862 25.3035 2.34607 8.57504 1.22644 0 2.34664 0
6500 0 21.6234 2.72142 25.9408 2.34267 8.64589 1.22647 0 2.34324 0
6600 0 20.8176 2.83556 26.5715 2.33593 8.71358 1.22658 0 2.33649 0
6700 0 20.0241 2.95092 27.1948 2.32588 8.77816 1.22682 0 2.32645 0
6800 0 19.2438 3.06734 27.8101 2.31259 8.83967 1.22723 0 2.31316 0
6900 0 18.4771 3.18468 28.4167 2.29612 8.89816 1.22787 0 2.29668 0
7000 0 17.7248 3.30279 29.0141 2.27653 8.9537 1.22879 0 2.2771 0
7100 0 16.9873 3.42151 29.6016 2.25391 9.00633 1.23001 0 2.25448 0
7200 0 16.2653 3.54069 30.1787 2.22835 9.05611 1.2316 0 2.22891 0
7300 0 15.5592 3.66017 30.7446 2.19993 9.1031 1.23358 0 2.2005 0
7400 0 14.8697 3.77978 31.299 2.16877 9.14738 1.23599 0 2.16934 0
7500 0 14.1972 3.89938 31.8413 2.13496 9.18899 1.23888 0 2.13553 0
7600 0 13.5422 4.01879 32.3708 2.09863 9.22802 1.24226 0 2.0992 0
7700 0 12.9052 4.13784 32.8871 2.05989 9.26453 1.24618 0 2.06047 0
7800 0 12.2865 4.25639 33.3896 2.01887 9.29859 1.25066 0 2.01945 0
7900 0 11.6868 4.37425 33.878 1.97569 9.33027 1.25572 0 1.97627 0
8000 0 11.1062 4.49128 34.3516 1.9305 9.35966 1.2614 0 1.93108 0
8100 0 10.5453 4.60729 34.8101 1.88343 9.38682 1.2677 0 1.88401 0
8200 0 10.0044 4.72215 35.2529 1.83461 9.41184 1.27466 0 1.8352 0
8300 0 9.48388 4.83567 35.6798 1.7842 9.4348 1.28228 0 1.78479 0
8400 0 8.98398 4.94771 36.0902 1.73235 9.45578 1.29058 0 1.73294 0
8500 0 8.50504 5.05811 36.4839 1.67919 9.47486 1.29957 0 1.67979 0
8600 0 8.04734 5.16671 36.8603 1.62489 9.49213 1.30926 0 1.62549 0
8700 0 7.61113 5.27336 37.2192 1.56958 9.50768 1.31965 0 1.57019 0
8800 0 7.19665 5.37792 37.5603 1.51344 9.52158 1.33075 0 1.51405 0
8900 0 6.8041 5.48023 37.8832 1.4566 9.53394 1.34255 0 1.45722 0
9000 0 6.43369 5.58017 38.1876 1.39922 9.54483 1.35506 0 1.39985 0
9100 0 6.08558 5.67759 38.4734 1.34145 9.55435 1.36828 0 1.34208 0
9200 0 5.75991 5.77235 38.7401 1.28345 9.56259 1.38219 0 1.28409 0
9300 0 5.45681 5.86434 38.9877 1.22536 9.56964 1.39679 0 1.226 0
9400 0 5.17639 5.95343 39.2158 1.16732 9.57559 1.41207 0 1.16797 0
9500 0 4.91873 6.0395 39.4243 1.10949 9.58054 1.42801 0 1.11015 0
9600 0 4.68389 6.12243 39.6131 1.05201 9.58457 1.4446 0 1.05267 0
9700 0 4.4719 6.20212 39.782 0.995007 9.58778 1.46183 0 0.995681 0
9800 0 4.28279 6.27848 39.9308 0.938627 9.59027 1.47967 0 0.939309 0
9900 0 4.11655 6.35139 40.0594 0.883001 9.59212 1.49811 0 0.883691 0
10000 0 3.97315 6.42078 40.1679 0.828254 9.59344 1.51712 0 0.828953 0
10100 0 3.85256 6.48656 40.256 0.774512 9.5943 1.53668 0 0.77522 0
10200 0 3.7547 6.54865 40.3238 0.721893 9.59482 1.55677 0 0.722611 0
10300 0 3.67948 6.60698 40.3712 0.670511 9.59507 1.57735 0 0.671238 0
10400 0 3.62681 6.66149 40.3983 0.620475 9.59516 1.5984 0 0.621212 0
10500 0 3.59655 6.71212 40.405 0.571889 9.59517 1.6199 0 0.572635 0
10600 0 3.58856 6.75882 40.3914 0.524849 9.59519 1.6418 0 0.525606 0
